matricule,nom,prenom,mois,annee,salaire_brut,salaire_net,fichier_pdf
EMP001,Seye,Mouhamed,Janvier,2025,500000,420000,EMP001_2025_01.pdf
EMP001,Seye,Mouhamed,Février,2025,500000,420000,EMP001_2025_02.pdf
EMP001,Seye,Mouhamed,Mars,2025,500000,425000,EMP001_2025_03.pdf
EMP001,Seye,Mouhamed,Avril,2025,520000,435000,EMP001_2025_04.pdf
EMP002,Diallo,Fatou,Janvier,2025,650000,540000,EMP002_2025_01.pdf
EMP002,Diallo,Fatou,Février,2025,650000,540000,EMP002_2025_02.pdf
EMP002,Diallo,Fatou,Mars,2025,650000,545000,EMP002_2025_03.pdf
EMP003,Ndiaye,Ousmane,Janvier,2025,800000,660000,EMP003_2025_01.pdf
EMP003,Ndiaye,Ousmane,Février,2025,800000,660000,EMP003_2025_02.pdf
EMP003,Ndiaye,Ousmane,Mars,2025,820000,675000,EMP003_2025_03.pdf
